NOME_UNIDADE,NOME_DISCIPLINA,COD_TURMA,ITEM_TABELA,HR_INICIO,COD_DISCIPLINA,DIA_SEMANA,HR_FIM,TIPO_AULA,PERIODO_ITEM,ANO,DIA_SEMANA_ITEM,COD_ESTRUTURADO,CH_TOTAL,CREDITOS,PERIODO,COD_CURSO,NOME_SALA,DT_INICIO_PERIODO,DT_FIM_PERIODO,ID_TURMA,ESCOPO_ITEM,VAGAS_OCUPADAS,VAGAS_OFERECIDAS,VAGAS_AUMENTADAS,SITUACAO
Coord. Acadêmica do Instituto de Computação,INTRODUÇÃO A COMPUTAÇÃO,CB02,2,10:00:00,ICC001,Segunda-feira,11:50:00,Teórica,202,2015,2,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,ICE - 2º ANDAR - BL. 6  SALA DE AULA 302,08/09/2015,18/01/2016,122754,3,10,15,0,Ajuste Hor.
Coord. Acadêmica do Instituto de Computação,INTRODUÇÃO A COMPUTAÇÃO,CB02,4,10:00:00,ICC001,Quarta-feira,11:50:00,Teórica,202,2015,4,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,ICE - 2º ANDAR - BL. 6  SALA DE AULA 302,08/09/2015,18/01/2016,122754,3,10,15,0,Ajuste Hor.
Coord. Acadêmica do Instituto de Computação,INTRODUÇÃO A COMPUTAÇÃO,CB02,6,10:00:00,ICC001,Sexta-feira,11:50:00,Prática,202,2015,6,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,,08/09/2015,18/01/2016,122754,3,10,15,0,Ajuste Hor.
Coord. Acadêmica do Instituto de Computação,INTRODUÇÃO A COMPUTAÇÃO,3,2,10:00:00,ICC001,Segunda-feira,11:50:00,Prática,202,2015,2,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,,08/09/2015,18/01/2016,128390,1,9,10,0,Matrícula
Coord. Acadêmica do Instituto de Computação,INTRODUÇÃO A COMPUTAÇÃO,3,4,10:00:00,ICC001,Quarta-feira,11:50:00,Teórica,202,2015,4,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,,08/09/2015,18/01/2016,128390,1,9,10,0,Matrícula
Coord. Acadêmica do Instituto de Computação,INTRODUÇÃO A COMPUTAÇÃO,3,6,10:00:00,ICC001,Sexta-feira,11:50:00,Teórica,202,2015,6,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,,08/09/2015,18/01/2016,128390,1,9,10,0,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,CB01,2,10:00:00,ICC002,Segunda-feira,11:50:00,Teórica,202,2015,2,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,ICE - TÉRREO - BL.6 SALA DE AULA 106/107,08/09/2015,18/01/2016,122726,1,44,25,19,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,CB01,4,10:00:00,ICC002,Quarta-feira,11:50:00,Teórica,202,2015,4,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,ICE - TÉRREO - BL.6 SALA DE AULA 106/107,08/09/2015,18/01/2016,122726,1,44,25,19,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,CB01,6,10:00:00,ICC002,Sexta-feira,11:50:00,Prática,202,2015,6,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,ICE - TÉRREO - BL.6 SALA DE AULA 106/107,08/09/2015,18/01/2016,122726,1,44,25,19,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,CB02,2,10:00:00,ICC002,Segunda-feira,11:50:00,Teórica,202,2015,2,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,ICE - TÉRREO - BL.6 SALA DE AULA 106/107,08/09/2015,18/01/2016,122741,1,4,5,0,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,CB02,4,10:00:00,ICC002,Quarta-feira,11:50:00,Teórica,202,2015,4,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,ICE - TÉRREO - BL.6 SALA DE AULA 106/107,08/09/2015,18/01/2016,122741,1,4,5,0,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,CB02,6,10:00:00,ICC002,Sexta-feira,11:50:00,Prática,202,2015,6,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,ICE - TÉRREO - BL.6 SALA DE AULA 106/107,08/09/2015,18/01/2016,122741,1,4,5,0,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,CB03,2,10:00:00,ICC002,Segunda-feira,11:50:00,Teórica,202,2015,2,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,,08/09/2015,18/01/2016,122764,1,4,5,0,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,CB03,4,10:00:00,ICC002,Quarta-feira,11:50:00,Teórica,202,2015,4,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,,08/09/2015,18/01/2016,122764,1,4,5,0,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,CB03,6,10:00:00,ICC002,Sexta-feira,11:50:00,Prática,202,2015,6,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,,08/09/2015,18/01/2016,122764,1,4,5,0,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,01,2,18:00:00,ICC002,Segunda-feira,19:50:00,Teórica,202,2015,2,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE15,,08/09/2015,18/01/2016,123383,3,52,50,3,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,01,4,18:00:00,ICC002,Quarta-feira,19:50:00,Teórica,202,2015,4,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE15,,08/09/2015,18/01/2016,123383,3,52,50,3,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURA DE DADOS I,01,6,18:00:00,ICC002,Sexta-feira,19:50:00,Prática,202,2015,6,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE15,,08/09/2015,18/01/2016,123383,3,52,50,3,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURAS DE DADOS II,CB02,3,14:00:00,ICC003,Terça-feira,15:50:00,Teórica,202,2015,3,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,,08/09/2015,18/01/2016,128370,3,17,13,4,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURAS DE DADOS II,CB02,5,14:00:00,ICC003,Quinta-feira,15:50:00,Teórica,202,2015,5,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,,08/09/2015,18/01/2016,128370,3,17,13,4,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURAS DE DADOS II,CB02,6,14:00:00,ICC003,Sexta-feira,15:50:00,Prática,202,2015,6,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE08,,08/09/2015,18/01/2016,128370,3,17,13,4,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURAS DE DADOS II,01,3,14:00:00,ICC003,Terça-feira,15:50:00,Teórica,202,2015,3,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE15,,08/09/2015,18/01/2016,128385,5,0,5,0,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURAS DE DADOS II,01,5,14:00:00,ICC003,Quinta-feira,15:50:00,Teórica,202,2015,5,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE15,,08/09/2015,18/01/2016,128385,5,0,5,0,Matrícula
Coord. Acadêmica do Instituto de Computação,ALGORITMOS E ESTRUTURAS DE DADOS II,01,6,14:00:00,ICC003,Sexta-feira,15:50:00,Prática,202,2015,6,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE15,,08/09/2015,18/01/2016,128385,5,0,5,0,Matrícula
Coord. Acadêmica do Instituto de Computação,TÉCNICAS DE PROGRAMAÇÃO,CB01,6,07:00:00,ICC005,Sexta-feira,10:30:00,Prática,202,2015,6,1.70.01.00.00.00.00.00,90,4, 2° Semestre,IE08,ICE - TÉRREO - BL. 6 SALA DE AULA 103,08/09/2015,18/01/2016,122728,3,50,50,1,Matrícula
Coord. Acadêmica do Instituto de Computação,TÉCNICAS DE PROGRAMAÇÃO,CB01,6,11:00:00,ICC005,Sexta-feira,12:50:00,Teórica,202,2015,6,1.70.01.00.00.00.00.00,90,4, 2° Semestre,IE08,ICE - TÉRREO - BL. 6 SALA DE AULA 103,08/09/2015,18/01/2016,122728,3,50,50,1,Matrícula
Coord. Acadêmica do Instituto de Computação,LABORATÓRIO DE PROGRAMAÇÃO A,01,3,18:00:00,ICC011,Terça-feira,19:50:00,Prática,202,2015,3,1.70.01.00.00.00.00.00,60,2, 2° Semestre,IE15,,08/09/2015,18/01/2016,123385,3,23,40,0,Matrícula
Coord. Acadêmica do Instituto de Computação,LABORATÓRIO DE PROGRAMAÇÃO A,01,5,18:00:00,ICC011,Quinta-feira,19:50:00,Prática,202,2015,5,1.70.01.00.00.00.00.00,60,2, 2° Semestre,IE15,,08/09/2015,18/01/2016,123385,3,23,40,0,Matrícula
Coord. Acadêmica do Instituto de Computação,LABORATÓRIO DE PROGRAMAÇÃO C,CB01,2,16:00:00,ICC013,Segunda-feira,17:50:00,Prática,202,2015,2,1.70.01.00.00.00.00.00,60,2, 2° Semestre,IE08,,08/09/2015,18/01/2016,122748,3,8,15,0,Matrícula
Coord. Acadêmica do Instituto de Computação,LABORATÓRIO DE PROGRAMAÇÃO C,CB01,4,16:00:00,ICC013,Quarta-feira,17:50:00,Prática,202,2015,4,1.70.01.00.00.00.00.00,60,2, 2° Semestre,IE08,,08/09/2015,18/01/2016,122748,3,8,15,0,Matrícula
Coord. Acadêmica do Instituto de Computação,LABORATÓRIO DE PROGRAMAÇÃO C,01,2,16:00:00,ICC013,Segunda-feira,17:50:00,Prática,202,2015,2,1.70.01.00.00.00.00.00,60,2, 2° Semestre,IE15,,08/09/2015,18/01/2016,123392,1,1,20,0,Matrícula
Coord. Acadêmica do Instituto de Computação,LABORATÓRIO DE PROGRAMAÇÃO C,01,4,16:00:00,ICC013,Quarta-feira,17:50:00,Prática,202,2015,4,1.70.01.00.00.00.00.00,60,2, 2° Semestre,IE15,,08/09/2015,18/01/2016,123392,1,1,20,0,Matrícula
Coord. Acadêmica do Instituto de Computação,TÓPICOS ESPECIAIS EM PROGRAMAÇÃO I,01,3,16:00:00,ICC030,Terça-feira,17:50:00,Teórica,202,2015,3,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE15,,08/09/2015,18/01/2016,128369,1,13,15,0,Matrícula
Coord. Acadêmica do Instituto de Computação,TÓPICOS ESPECIAIS EM PROGRAMAÇÃO I,01,5,16:00:00,ICC030,Quinta-feira,17:50:00,Teórica,202,2015,5,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE15,,08/09/2015,18/01/2016,128369,1,13,15,0,Matrícula
Coord. Acadêmica do Instituto de Computação,LINGUAGENS FORMAIS E AUTÔMATOS,CB01,2,08:00:00,ICC040,Segunda-feira,09:50:00,Teórica,202,2015,2,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,ICE - TÉRREO - BL.6 SALA DE AULA 104/105,08/09/2015,18/01/2016,122750,1,45,50,0,Matrícula
Coord. Acadêmica do Instituto de Computação,LINGUAGENS FORMAIS E AUTÔMATOS,CB01,4,08:00:00,ICC040,Quarta-feira,09:50:00,Teórica,202,2015,4,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,ICE - TÉRREO - BL.6 SALA DE AULA 104/105,08/09/2015,18/01/2016,122750,1,45,50,0,Matrícula
Coord. Acadêmica do Instituto de Computação,LINGUAGENS FORMAIS E AUTÔMATOS,CB02,2,10:00:00,ICC040,Segunda-feira,11:50:00,Teórica,202,2015,2,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,,08/09/2015,18/01/2016,122762,3,10,5,6,Matrícula
Coord. Acadêmica do Instituto de Computação,LINGUAGENS FORMAIS E AUTÔMATOS,CB02,4,10:00:00,ICC040,Quarta-feira,11:50:00,Teórica,202,2015,4,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,,08/09/2015,18/01/2016,122762,3,10,5,6,Matrícula
Coord. Acadêmica do Instituto de Computação,INTRODUÇÃO À TEORIA DOS GRAFOS,CB01,3,10:00:00,ICC041,Terça-feira,11:50:00,Teórica,202,2015,3,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,ICE - 2º ANDAR - BL. 6  SALA DE AULA 307,08/09/2015,18/01/2016,122742,3,52,50,2,Matrícula
Coord. Acadêmica do Instituto de Computação,INTRODUÇÃO À TEORIA DOS GRAFOS,CB01,5,10:00:00,ICC041,Quinta-feira,11:50:00,Teórica,202,2015,5,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,ICE - 2º ANDAR - BL. 6  SALA DE AULA 307,08/09/2015,18/01/2016,122742,3,52,50,2,Matrícula
Coord. Acadêmica do Instituto de Computação,PARADIGMA DE LINGUAGENS DE PROGRAMAÇÃO,01,3,18:00:00,ICC043,Terça-feira,19:50:00,Teórica,202,2015,3,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE15,,08/09/2015,18/01/2016,123435,3,29,40,0,Matrícula
Coord. Acadêmica do Instituto de Computação,PARADIGMA DE LINGUAGENS DE PROGRAMAÇÃO,01,5,18:00:00,ICC043,Quinta-feira,19:50:00,Teórica,202,2015,5,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE15,,08/09/2015,18/01/2016,123435,3,29,40,0,Matrícula
Coord. Acadêmica do Instituto de Computação,COMPILADORES,CB01,3,14:00:00,ICC044,Terça-feira,15:50:00,Teórica,202,2015,3,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,ICE - 2º ANDAR - BL. 6  SALA DE AULA 304,08/09/2015,18/01/2016,122730,3,34,50,0,Matrícula
Coord. Acadêmica do Instituto de Computação,COMPILADORES,CB01,5,14:00:00,ICC044,Quinta-feira,15:50:00,Teórica,202,2015,5,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,ICE - 2º ANDAR - BL. 6  SALA DE AULA 304,08/09/2015,18/01/2016,122730,3,34,50,0,Matrícula
Coord. Acadêmica do Instituto de Computação,SISTEMAS LÓGICOS,CB01,3,08:00:00,ICC060,Terça-feira,09:50:00,Teórica,202,2015,3,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,ICE - TÉRREO - BL.6 SALA DE AULA 106/107,08/09/2015,18/01/2016,122727,3,36,25,12,Matrícula
Coord. Acadêmica do Instituto de Computação,SISTEMAS LÓGICOS,CB01,5,08:00:00,ICC060,Quinta-feira,09:50:00,Teórica,202,2015,5,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,ICE - TÉRREO - BL.6 SALA DE AULA 106/107,08/09/2015,18/01/2016,122727,3,36,25,12,Matrícula
Coord. Acadêmica do Instituto de Computação,SISTEMAS LÓGICOS,CB02,3,08:00:00,ICC060,Terça-feira,09:50:00,Teórica,202,2015,3,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,,08/09/2015,18/01/2016,126215,3,37,25,12,Matrícula
Coord. Acadêmica do Instituto de Computação,SISTEMAS LÓGICOS,CB02,5,08:00:00,ICC060,Quinta-feira,09:50:00,Teórica,202,2015,5,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,,08/09/2015,18/01/2016,126215,3,37,25,12,Matrícula
Coord. Acadêmica do Instituto de Computação,ARQUITETURA DE COMPUTADORES,CB01,3,08:00:00,ICC062,Terça-feira,09:50:00,Teórica,202,2015,3,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,ICE - 2º ANDAR - BL. 6  SALA DE AULA 306,08/09/2015,18/01/2016,122740,3,58,50,8,Matrícula
Coord. Acadêmica do Instituto de Computação,ARQUITETURA DE COMPUTADORES,CB01,5,08:00:00,ICC062,Quinta-feira,09:50:00,Teórica,202,2015,5,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,ICE - 2º ANDAR - BL. 6  SALA DE AULA 306,08/09/2015,18/01/2016,122740,3,58,50,8,Matrícula
Coord. Acadêmica do Instituto de Computação,SISTEMAS DE COMPUTAÇÃO,01,2,20:00:00,ICC064,Segunda-feira,21:50:00,Teórica,202,2015,2,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE15,,08/09/2015,18/01/2016,123441,1,50,40,10,Matrícula
Coord. Acadêmica do Instituto de Computação,SISTEMAS DE COMPUTAÇÃO,01,4,20:00:00,ICC064,Quarta-feira,21:50:00,Teórica,202,2015,4,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE15,,08/09/2015,18/01/2016,123441,1,50,40,10,Matrícula
Coord. Acadêmica do Instituto de Computação,SISTEMAS DE COMPUTAÇÃO,01,6,16:00:00,ICC064,Sexta-feira,17:50:00,Prática,202,2015,6,1.70.01.00.00.00.00.00,90,5, 2° Semestre,IE15,,08/09/2015,18/01/2016,123441,1,50,40,10,Matrícula
Coord. Acadêmica do Instituto de Computação,EMPREENDEDORISMO EM INFORMÁTICA,CB01,2,14:00:00,ICC103,Segunda-feira,15:50:00,Teórica,202,2015,2,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,ICE - TÉRREO - BL. 6 SALA DE AULA 102,08/09/2015,18/01/2016,122744,3,48,40,8,Matrícula
Coord. Acadêmica do Instituto de Computação,EMPREENDEDORISMO EM INFORMÁTICA,CB01,4,14:00:00,ICC103,Quarta-feira,15:50:00,Teórica,202,2015,4,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,ICE - TÉRREO - BL. 6 SALA DE AULA 102,08/09/2015,18/01/2016,122744,3,48,40,8,Matrícula
Coord. Acadêmica do Instituto de Computação,MATEMÁTICA DISCRETA,CB01,3,14:00:00,ICC120,Terça-feira,15:50:00,Teórica,202,2015,3,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,ICE - 1º ANDAR-BL. 6  SALA DE AULA 206,08/09/2015,18/01/2016,122749,1,34,30,4,Matrícula
Coord. Acadêmica do Instituto de Computação,MATEMÁTICA DISCRETA,CB01,5,14:00:00,ICC120,Quinta-feira,15:50:00,Teórica,202,2015,5,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,ICE - 1º ANDAR-BL. 6  SALA DE AULA 206,08/09/2015,18/01/2016,122749,1,34,30,4,Matrícula
Coord. Acadêmica do Instituto de Computação,MATEMÁTICA DISCRETA,CB02,3,14:00:00,ICC120,Terça-feira,15:50:00,Teórica,202,2015,3,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,ICE - 1º ANDAR -BL. 6  SALA DE AULA 207,08/09/2015,18/01/2016,122747,1,35,30,5,Matrícula
Coord. Acadêmica do Instituto de Computação,MATEMÁTICA DISCRETA,CB02,5,14:00:00,ICC120,Quinta-feira,15:50:00,Teórica,202,2015,5,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,ICE - 1º ANDAR -BL. 6  SALA DE AULA 207,08/09/2015,18/01/2016,122747,1,35,30,5,Matrícula
Coord. Acadêmica do Instituto de Computação,MATEMÁTICA DISCRETA,01,3,16:00:00,ICC120,Terça-feira,17:50:00,Teórica,202,2015,3,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE15,,08/09/2015,18/01/2016,123378,1,55,50,5,Matrícula
Coord. Acadêmica do Instituto de Computação,MATEMÁTICA DISCRETA,01,5,16:00:00,ICC120,Quinta-feira,17:50:00,Teórica,202,2015,5,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE15,,08/09/2015,18/01/2016,123378,1,55,50,5,Matrícula
Coord. Acadêmica do Instituto de Computação,TRABALHO DE CONCLUSÃO DE CURSO,CB01,,,ICC150,,,,202,2015,,1.70.01.00.00.00.00.00,150,5, 2° Semestre,IE08,,,,122758,1,12,30,0,Matrícula
Coord. Acadêmica do Instituto de Computação,TRABALHO DE CONCLUSÃO DE CURSO,01,,,ICC150,,,,202,2015,,1.70.01.00.00.00.00.00,150,5, 2° Semestre,IE15,,,,123388,1,17,15,2,Matrícula
